city,country,temperature_celsius,feels_like_celsius,temperature_min_celsius,temperature_max_celsius,weather,lat,lon,pressure,humidity,wind_speed,wind_deg,visibility,sunrise,sunset,datetimestamp
Vancouver,CA,10.8,9.87,9.01,11.87,overcast clouds,49.2497,-123.1193,999,74,4.92,239,10000,2025-03-30 10:53:04,2025-03-30 23:40:16,2025-03-30 23:22:05
Victoria,CA,10.97,10.03,9.98,11.65,overcast clouds,48.4329,-123.3693,999,73,5.66,20,10000,2025-03-30 10:54:41,2025-03-30 23:40:39,2025-03-30 23:19:03
Calgary,CA,-1.44,-7.1,-2.35,-0.75,overcast clouds,51.0501,-114.0853,1015,86,5.66,180,10000,2025-03-30 10:15:34,2025-03-30 23:05:31,2025-03-30 23:22:10
Edmonton,CA,-2.24,-6.49,-2.39,-1.56,few clouds,53.5501,-113.4687,1018,73,3.33,123,10000,2025-03-30 10:10:56,2025-03-30 23:05:13,2025-03-30 23:20:06
Regina,CA,-7.01,-11.42,-7.01,-7.01,few clouds,50.4501,-104.6178,1027,79,2.57,30,10000,2025-03-30 09:38:15,2025-03-30 22:27:07,2025-03-30 23:23:02
Saskatoon,CA,-8.01,-12.6,-8.01,-8.01,few clouds,52.1168,-106.6345,1026,67,2.57,200,10000,2025-03-30 09:44:55,2025-03-30 22:36:34,2025-03-30 23:19:53
Winnipeg,CA,-4.47,-8.53,-4.97,-4.39,overcast clouds,49.8844,-97.147,1022,73,2.68,331,10000,2025-03-30 09:08:51,2025-03-30 21:56:45,2025-03-30 23:18:34
Toronto,CA,3.41,-1.61,2.27,4.06,fog,43.7001,-79.4163,1004,95,7.2,70,805,2025-03-30 08:02:15,2025-03-30 20:41:32,2025-03-30 23:19:01
Ottawa,CA,0.43,-3.47,-0.14,1.2,mist,45.4112,-75.6981,1009,94,3.6,60,3219,2025-03-30 07:46:20,2025-03-30 20:27:43,2025-03-30 23:20:18
Montreal,CA,1.27,-3.4,0.24,2.81,light rain,45.5088,-73.5878,1010,98,5.14,50,4023,2025-03-30 07:37:50,2025-03-30 20:19:20,2025-03-30 23:18:12
Québec,CA,-0.88,-7.76,-1.45,-0.32,mist,46.8123,-71.2145,1016,94,8.75,70,6437,2025-03-30 07:27:30,2025-03-30 20:10:42,2025-03-30 23:22:31
Fredericton,CA,-1.53,-4.91,-1.66,-1.53,snow,45.9454,-66.6656,1023,93,2.57,80,8047,2025-03-30 07:09:54,2025-03-30 19:51:54,2025-03-30 23:20:34
Saint John,CA,-0.43,-5.23,-0.43,-0.43,freezing rain,45.2727,-66.0677,1024,93,4.63,140,6437,2025-03-30 07:07:57,2025-03-30 19:49:04,2025-03-30 23:18:04
Halifax,CA,0.33,-4.58,-1.28,1.0,light snow,44.6453,-63.5724,1026,82,5.14,220,1189,2025-03-30 06:58:22,2025-03-30 19:38:41,2025-03-30 23:18:23
Dartmouth,CA,-0.01,-5.01,-1.53,0.75,light snow,44.6713,-63.5772,1026,82,5.14,220,868,2025-03-30 06:58:23,2025-03-30 19:38:43,2025-03-30 23:23:02
Charlottetown,CA,-0.88,-5.45,-1.36,-0.68,snow,46.2352,-63.1267,1026,83,4.12,120,10000,2025-03-30 06:55:34,2025-03-30 19:37:55,2025-03-30 23:20:35
St. John's,CA,-0.86,-6.88,-1.51,0.08,few clouds,47.5649,-52.7093,1024,86,6.69,270,10000,2025-03-30 06:13:04,2025-03-30 18:57:07,2025-03-30 23:23:02
